SSP_ID_1,SSP_ID_2,K_Vec
76,1667,402
3235,3455,403
3617,5018,403
577,2614,404
247,1639,405
1126,2198,405
3777,3887,407
255,1993,412
144,484,412
43,3924,415
4514,5057,416
851,1346,417
2463,4770,419
2065,4976,421
3037,4899,423
1815,3388,424
1651,4290,426
2728,4437,426
293,1646,426
185,4639,426
782,4449,428
2069,4257,430
756,4983,430
977,4505,430
4430,4774,431
2007,3184,433
2588,4239,434
3343,4971,436
1523,3864,437
4352,4813,437
3853,4598,439
1325,2646,441
245,3907,441
205,4487,441
381,2108,443
636,2612,443
2535,3572,445
1569,4332,445
75,1227,445
4506,4629,447
1239,3286,450
1100,4228,450
1057,3916,451
1582,4507,451
2738,4447,452
4072,4207,453
2209,4674,455
2256,4275,455
3939,4959,458
1509,2603,459
426,459,461
1077,3489,461
706,3614,462
3439,5037,463
1721,1786,464
794,1822,464
500,5041,464
2232,2798,465
3420,3663,465
549,731,466
1882,3953,467
1827,2855,467
3014,3343,470
1239,1468,472
1107,1168,473
1662,4631,474
354,3708,474
1247,4616,476
2524,2700,479
2330,2674,479
3125,4132,480
1521,2405,480
2886,4268,481
2757,4489,482
411,640,484
1060,1528,485
211,3519,486
4350,4765,486
168,407,488
65,4932,489
1932,2249,491
3006,4057,491
3642,3691,491
724,1550,492
504,4746,493
972,2198,496
243,4237,496
89,3835,497
1133,1945,500
1290,1316,502
3932,4951,504
583,2980,504
208,3205,504
709,3316,506
3462,4534,506
2836,3996,507
1546,1756,508
3418,4653,509
2108,4481,510
3471,3917,510
873,4974,510
2360,4173,511
3624,4772,511
602,3046,512
998,1850,512
1659,2468,515
2167,3397,515
2654,3749,516
2317,3246,518
212,1550,519
398,4484,519
2494,4669,519
786,1926,521
18,3222,521
1767,2109,523
747,1546,524
257,3709,526
2706,3517,526
3075,4339,527
678,994,529
2735,4025,532
2663,3321,535
1195,3418,535
1610,4089,536
890,2050,536
2785,4668,536
4105,4257,539
3952,4006,539
1330,3285,540
23,2720,541
2896,3559,543
1402,3721,544
200,2363,545
4090,4577,547
3114,4800,548
1897,2894,548
1197,2160,551
3640,4315,551
644,2747,551
3300,4580,551
67,3022,552
1134,1764,552
90,3837,553
25,3222,555
119,869,556
1253,1748,558
1327,3669,558
426,4425,559
66,4876,559
2166,4547,559
1567,2059,559
1364,1379,560
2492,4311,560
4155,5050,563
322,1774,565
599,2622,567
3495,4069,567
3478,3732,569
1352,3038,570
2070,4432,570
1923,2907,570
3193,4091,570
2248,4396,570
3890,4741,571
330,4750,572
587,1155,572
66,3213,574
843,4468,575
1689,2827,577
3262,3573,577
1815,2752,577
739,3021,579
901,974,580
3948,4049,581
3400,3874,582
648,4365,583
2338,3418,585
4354,4722,585
786,4867,586
1837,3111,587
1292,2995,589
3101,4455,591
1789,2455,591
3877,4498,591
976,2733,592
2197,3766,592
4108,4352,593
1984,4208,593
849,3897,594
2553,2666,595
2162,2691,595
533,1852,595
1212,1599,595
2752,4910,596
1328,4483,598
311,4361,598
602,4172,599
1160,4326,600
2217,2708,601
3189,4788,602
1818,3491,602
1521,4861,603
764,4239,604
1876,3936,604
1372,4017,604
580,3479,607
194,2917,608
712,1069,608
1342,4800,609
580,3328,610
2495,3476,610
1346,4813,612
3877,4991,612
1427,1496,613
2335,3167,613
1724,3165,614
2605,2992,615
3713,3852,616
3696,3893,618
2198,4522,619
5,2106,623
312,1408,623
791,3658,623
1378,4277,624
3188,4148,624
1209,2659,624
73,2311,625
2161,4094,626
181,4008,628
2748,3197,629
1141,4989,629
614,1296,631
883,4799,635
4245,4290,635
556,4892,635
615,1586,638
1586,4584,639
689,954,640
1145,4191,640
3200,4903,642
107,3385,642
1760,2282,643
2839,4907,643
1952,2295,643
2391,2785,644
3043,4062,644
59,847,645
191,2177,645
692,4140,646
2987,3425,647
170,988,649
1973,4242,650
3265,4970,652
888,2880,656
442,4947,656
2877,3203,658
997,4438,659
877,1560,661
2004,2487,661
96,468,662
1483,1986,663
2595,3274,664
629,4736,667
3527,4588,669
3401,4411,670
3198,3567,671
690,3211,673
1605,2555,673
1862,3622,673
4413,4579,673
63,4800,675
751,3457,676
1672,2653,677
1274,3222,677
623,4204,677
2649,4859,679
2181,3794,679
2441,3246,680
2572,3671,680
281,659,681
1797,4208,681
