st_TM_SNT1,st_TM_SNT2,st_TM_SNT3,st_TM_SNT4,st_TM_SNT5,st_TM_SNT6,st_TM_SNT7,st_TM_SNT8,st_TM_SNT9,st_TM_SNT10,st_TM_SNT11,st_TM_SNT12
123,1938,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0
126,1005,2140,4805,1882,1746,3854,3348,1207,0,0,0
127,4226,0,0,0,0,0,0,0,0,0,0
128,2151,3921,0,0,0,0,0,0,0,0,0
129,1859,1818,0,0,0,0,0,0,0,0,0
130,2490,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0
132,1248,4853,0,0,0,0,0,0,0,0,0
133,3924,236,4630,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,4128,2983,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0
142,1214,2055,4570,4449,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0
146,3419,2681,2711,719,362,3898,459,1726,339,619,0
147,0,0,0,0,0,0,0,0,0,0,0
148,624,2384,24,0,0,0,0,0,0,0,0
149,3292,4447,0,0,0,0,0,0,0,0,0
150,2142,1595,742,0,0,0,0,0,0,0,0
151,4399,2788,0,0,0,0,0,0,0,0,0
152,1100,4361,2668,1563,3321,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0
155,392,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0
157,998,0,0,0,0,0,0,0,0,0,0
158,1758,0,0,0,0,0,0,0,0,0,0
159,2185,0,0,0,0,0,0,0,0,0,0
160,2485,0,0,0,0,0,0,0,0,0,0
161,3232,2260,0,0,0,0,0,0,0,0,0
162,1280,0,0,0,0,0,0,0,0,0,0
163,3170,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0
165,727,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0
168,4552,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0
170,312,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0
172,4982,0,0,0,0,0,0,0,0,0,0
173,2729,0,0,0,0,0,0,0,0,0,0
174,4835,1294,83,0,0,0,0,0,0,0,0
175,2866,2747,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0
177,731,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0
180,1644,0,0,0,0,0,0,0,0,0,0
181,2687,3349,3860,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0
183,3760,0,0,0,0,0,0,0,0,0,0
184,115,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0
186,4453,1832,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0
188,778,0,0,0,0,0,0,0,0,0,0
189,2628,0,0,0,0,0,0,0,0,0,0
190,3406,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0
193,1990,1911,1505,1641,0,0,0,0,0,0,0
194,4979,4717,0,0,0,0,0,0,0,0,0
195,113,0,0,0,0,0,0,0,0,0,0
196,1891,2470,4946,0,0,0,0,0,0,0,0
197,2928,2424,0,0,0,0,0,0,0,0,0
198,318,2781,0,0,0,0,0,0,0,0,0
199,1047,0,0,0,0,0,0,0,0,0,0
200,4077,4545,0,0,0,0,0,0,0,0,0
201,387,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0
203,3751,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0
205,885,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0
207,1406,0,0,0,0,0,0,0,0,0,0
208,2359,354,0,0,0,0,0,0,0,0,0
209,788,0,0,0,0,0,0,0,0,0,0
210,2964,0,0,0,0,0,0,0,0,0,0
211,3595,0,0,0,0,0,0,0,0,0,0
212,724,0,0,0,0,0,0,0,0,0,0
