StarID,RA,Dec,Mag
60677,17.24412845,14.39025314,2.78
61657,17.5072158,52.30135901,2.79
43947,12.25243248,-58.74890179,2.79
55049,15.58568343,-41.16669497,2.8
58736,16.68818808,31.60188695,2.81
18150,5.47075731,-20.75923214,2.81
1451,0.42755612,-77.25503511,2.82
65228,18.46618597,-25.42124732,2.82
58437,16.59804428,-28.21596156,2.82
56159,15.91911334,-63.42974973,2.83
29194,8.12575059,-24.30443677,2.83
782,0.22059721,15.18361593,2.83
61345,17.42166588,-55.52982397,2.84
61747,17.53070044,-49.87598159,2.84
12791,3.90219957,31.88365776,2.84
86307,7.576977829485919,31.8918827889317,2.85
12393,3.79140671,24.10524193,2.85
78188,21.78396813,-16.12656595,2.85
46533,13.03632237,10.95910186,2.85
70319,19.74956725,45.13069195,2.86
6432,1.97940884,-61.56992444,2.86
54151,15.31519133,-68.67946723,2.87
21860,6.3826642,22.51385027,2.87
80072,22.30838283,-60.25949486,2.87
68019,19.1627316,-21.02352534,2.88
9709,2.97103212,-40.30473491,2.88
56365,15.98086685,-26.1140428,2.89
46223,12.933844699999998,38.31824617,2.89
26419,7.45252008,8.28940893,2.89
12986,3.96422809,40.01027315,2.9
57640,16.35314514,-25.59275259,2.9
77257,21.52597796,-5.57115593,2.9
10038,3.07994173,53.50645031,2.91
35592,9.78503822,-65.07201888,2.92
81457,22.71670238,30.22130866,2.93
23782,6.83226023,-50.61439973,2.94
44806,12.4977731,-16.51509397,2.94
79284,22.09639591,-0.31982656,2.95
35524,9.76419511,23.77427792,2.97
12992,3.96714724,-13.50824471,2.97
18796,5.62741229,21.14259299,2.97
63828,18.09681239,-30.42365007,2.98
62676,17.79307809,-40.12698197,2.99
47425,13.31534816,-23.17141246,2.99
67718,19.09017012,13.86370983,2.99
54251,15.34548589,71.83397308,3.0
40371,11.16107206,44.49855337,3.0
78568,21.898792800000003,-37.3648229,3.0
7008,2.15903358,34.98739204,3.0
59345,16.86451079,-38.04732717,3.0
12151,3.71541169,47.7876533,3.01
21680,6.33855198,-30.06337656,3.02
24711,7.05040932,-23.83330131,3.02
