SSP_ID_1,SSP_ID_2,K_Vec
1461,3706,424
2619,4645,425
2659,4664,427
1249,4690,427
573,2221,427
1004,1519,428
3170,4524,430
673,1488,431
3206,4657,431
2151,3772,431
2036,3926,433
435,1627,434
3532,4701,434
975,1954,437
1779,4496,437
142,2964,438
4050,4901,441
3258,4459,441
1676,3089,443
1621,2465,446
608,3401,446
84,2233,446
1412,4797,446
3351,4874,448
352,3558,449
890,1841,450
635,3326,452
1727,4699,453
1070,4678,453
499,1506,454
1144,4947,457
238,3254,459
3313,3909,459
2168,4018,460
415,1456,462
158,4632,463
2807,2950,465
960,3066,467
1523,2984,468
4576,4795,469
1574,4478,470
1694,5060,470
2070,2321,471
1831,3832,473
294,2134,473
3068,4460,473
3018,4918,475
337,2341,475
635,3030,476
2382,3808,476
1831,3831,476
7,2340,478
2850,3818,478
1061,2700,479
2029,3181,481
3815,4552,481
1626,2769,482
1322,4903,482
949,2175,483
3675,4431,483
3517,4188,485
2838,4587,485
865,3678,487
354,3303,488
2302,2885,489
3555,4570,489
742,4427,490
2066,3269,492
3510,4202,492
1689,2933,492
1831,4150,494
2079,4147,494
1696,4060,495
2829,3447,496
3781,4998,497
1034,2728,498
1757,3826,498
2471,2963,499
891,1864,500
1537,3459,501
439,4675,504
2976,3236,504
2171,2254,504
1011,1876,504
2388,4927,504
1343,2087,504
1743,4858,504
862,1003,505
2823,3473,505
2826,4575,505
2452,4835,507
3023,4813,509
526,990,509
2020,3340,510
1823,4556,510
1074,4583,511
107,1063,512
3003,3155,512
1035,1372,515
2153,3926,519
1980,2296,520
362,1814,522
2514,3721,524
2264,3117,524
35,3211,526
260,2981,528
76,1667,530
3235,3455,531
3617,5018,533
577,2614,533
247,1639,533
1126,2198,533
3777,3887,536
255,1993,537
144,484,537
43,3924,538
4514,5057,538
851,1346,540
2463,4770,542
2065,4976,544
3037,4899,544
1815,3388,546
1651,4290,547
2728,4437,548
293,1646,548
185,4639,549
782,4449,550
2069,4257,550
756,4983,552
977,4505,552
4430,4774,552
2007,3184,555
2588,4239,557
3343,4971,557
1523,3864,558
4352,4813,558
3853,4598,559
1325,2646,561
245,3907,562
205,4487,563
381,2108,566
636,2612,566
2535,3572,568
1569,4332,568
75,1227,569
4506,4629,571
1239,3286,571
1100,4228,571
1057,3916,571
1582,4507,572
2738,4447,572
4072,4207,573
2209,4674,574
2256,4275,574
3939,4959,577
1509,2603,579
426,459,580
1077,3489,581
706,3614,583
3439,5037,584
1721,1786,586
794,1822,586
500,5041,587
2232,2798,587
3420,3663,588
549,731,590
1882,3953,591
1827,2855,592
3014,3343,593
1239,1468,593
1107,1168,595
1662,4631,596
354,3708,598
1247,4616,598
2524,2700,599
2330,2674,599
3125,4132,601
1521,2405,603
2886,4268,604
2757,4489,604
411,640,607
1060,1528,610
211,3519,611
4350,4765,611
168,407,611
65,4932,613
1932,2249,613
3006,4057,614
3642,3691,616
724,1550,616
504,4746,617
972,2198,617
243,4237,617
89,3835,618
1133,1945,618
1290,1316,619
3932,4951,619
583,2980,622
208,3205,622
709,3316,623
3462,4534,625
2836,3996,626
1546,1756,626
3418,4653,626
2108,4481,628
3471,3917,628
873,4974,631
2360,4173,631
3624,4772,633
602,3046,633
998,1850,634
1659,2468,636
2167,3397,640
2654,3749,642
2317,3246,643
212,1550,643
398,4484,643
2494,4669,643
786,1926,646
18,3222,646
1767,2109,647
747,1546,649
257,3709,650
2706,3517,651
3075,4339,652
678,994,654
2735,4025,655
2663,3321,656
1195,3418,658
1610,4089,658
890,2050,658
2785,4668,658
4105,4257,659
3952,4006,659
1330,3285,661
23,2720,663
2896,3559,663
1402,3721,665
200,2363,665
4090,4577,666
3114,4800,666
1897,2894,666
1197,2160,666
3640,4315,667
644,2747,667
3300,4580,670
67,3022,672
1134,1764,674
90,3837,674
25,3222,676
119,869,677
1253,1748,677
1327,3669,677
426,4425,677
66,4876,678
2166,4547,678
1567,2059,679
1364,1379,680
2492,4311,681
4155,5050,682
322,1774,684
599,2622,684
3495,4069,684
3478,3732,686
1352,3038,687
2070,4432,688
1923,2907,690
3193,4091,690
2248,4396,692
3890,4741,692
330,4750,693
587,1155,694
66,3213,697
843,4468,698
1689,2827,698
3262,3573,698
1815,2752,699
739,3021,699
901,974,700
3948,4049,700
3400,3874,702
648,4365,702
2338,3418,702
4354,4722,702
786,4867,702
1837,3111,703
1292,2995,705
3101,4455,705
1789,2455,706
3877,4498,707
976,2733,708
2197,3766,709
4108,4352,709
1984,4208,710
849,3897,711
2553,2666,711
2162,2691,711
533,1852,714
1212,1599,715
2752,4910,715
1328,4483,716
311,4361,717
602,4172,717
1160,4326,719
2217,2708,719
3189,4788,720
1818,3491,720
1521,4861,721
764,4239,722
1876,3936,723
1372,4017,726
580,3479,727
194,2917,730
712,1069,730
1342,4800,730
580,3328,731
2495,3476,731
1346,4813,731
3877,4991,733
1427,1496,733
2335,3167,735
1724,3165,736
2605,2992,738
3713,3852,740
3696,3893,742
2198,4522,742
5,2106,743
312,1408,745
791,3658,746
1378,4277,747
3188,4148,749
1209,2659,749
73,2311,749
2161,4094,750
181,4008,750
2748,3197,750
1141,4989,751
614,1296,752
883,4799,752
4245,4290,752
556,4892,754
615,1586,754
1586,4584,756
689,954,757
1145,4191,760
3200,4903,763
107,3385,764
1760,2282,765
2839,4907,766
1952,2295,768
2391,2785,768
3043,4062,769
59,847,770
191,2177,772
692,4140,774
2987,3425,776
170,988,777
1973,4242,779
3265,4970,780
888,2880,780
442,4947,780
2877,3203,780
997,4438,782
877,1560,783
2004,2487,784
96,468,784
1483,1986,784
2595,3274,786
629,4736,787
3527,4588,787
3401,4411,788
3198,3567,788
690,3211,789
1605,2555,791
1862,3622,792
4413,4579,794
63,4800,795
751,3457,796
1672,2653,798
1274,3222,799
623,4204,800
2649,4859,800
2181,3794,801
2441,3246,802
2572,3671,804
281,659,804
1797,4208,805
45,1769,806
1568,4850,807
3309,3578,808
991,2350,810
1048,2524,812
1155,4557,813
831,1218,814
2510,3267,814
2094,3279,814
3804,4072,814
1438,1797,815
170,4506,815
2094,2778,818
1816,3270,819
2415,2544,821
3244,4538,821
1889,3029,824
3157,4744,824
2665,3405,825
4674,4833,827
1605,2556,827
1932,4927,828
1827,4226,830
594,3029,832
700,4565,833
9,1901,835
989,3096,836
2164,4811,836
2251,2818,836
1515,3742,836
795,936,836
835,4383,837
3047,4253,837
1302,3706,837
2293,3015,838
4400,5039,839
2810,3755,840
2273,4980,843
2637,4892,843
200,1018,843
768,3079,844
387,4868,845
199,4946,845
3146,4453,846
1801,4543,846
3780,4276,848
477,2365,849
3671,4873,849
2300,4211,852
1372,2989,852
1865,4303,852
752,2042,854
1622,4564,854
2536,2879,855
1314,2365,855
3738,4187,856
746,1082,857
95,438,858
3045,4599,859
3225,4626,860
107,3947,861
3035,4637,864
618,4629,864
1798,2881,866
1304,1702,867
1173,1835,869
1143,1718,871
1765,3952,873
1320,2769,875
1810,4638,875
1438,3712,877
325,873,877
1477,3252,877
2502,4189,878
4,4325,879
539,1725,879
3426,4702,880
4472,4650,881
3145,4633,881
4649,4651,881
3844,5012,882
3702,4801,882
874,2987,884
2867,2977,885
4198,4378,886
1237,4974,887
2162,4010,888
698,3087,889
4578,4839,889
413,1309,890
2198,3163,891
3015,3898,891
528,2765,892
2813,4720,896
1233,2176,897
558,1346,897
760,3443,897
3392,4482,897
1798,3278,898
851,3864,899
3676,3728,900
648,5000,902
1166,3543,903
2341,4429,906
4452,4578,909
1802,4720,911
311,1527,912
678,1858,912
1640,3542,913
2681,3203,915
892,2301,915
2426,4677,917
380,4508,917
2890,4311,918
1399,4596,919
156,201,920
2117,3024,921
2239,4654,922
3018,3806,923
1556,4810,923
248,2210,924
1738,1943,925
2095,4077,925
877,2627,925
1143,3823,928
1882,3174,928
1908,3677,931
1972,3943,931
2066,4536,931
2267,2486,933
1799,2224,935
383,4368,935
87,983,936
2528,4896,936
4136,4931,939
1103,1709,940
205,1270,940
1529,2763,942
2973,5054,943
87,3773,944
753,4597,946
2584,5057,947
3478,4728,948
3789,4463,948
864,2483,948
717,1281,950
1340,2402,951
2210,2367,951
3058,3404,952
646,864,956
919,3770,957
2536,3714,958
3401,4826,959
3383,3833,959
392,950,960
920,3770,960
15,618,961
2336,2507,965
1481,4063,967
274,2047,968
3740,4234,969
2602,4558,969
449,4566,970
135,507,970
1798,3428,970
430,3972,972
2191,4250,975
363,4246,977
577,2085,980
4658,4917,980
1553,1728,980
407,3629,980
3816,4271,980
1051,1980,980
526,4036,981
1818,3389,982
1976,4592,983
878,3127,984
848,2231,986
1954,4483,987
27,3441,987
3503,3628,990
155,434,991
759,760,991
992,4150,991
3580,4007,991
113,1186,991
2189,3798,992
1329,3125,992
1196,5022,996
79,3252,996
2376,4702,997
644,2180,999
571,4190,1003
3972,4217,1006
743,877,1010
3479,4944,1011
1431,2938,1013
1899,5059,1013
669,4349,1013
1225,2986,1014
3307,3809,1014
2244,3427,1014
985,2704,1016
1301,2157,1017
491,1283,1018
3328,4944,1019
2757,4777,1020
264,1533,1021
717,3198,1024
1532,3698,1024
2698,3770,1025
2370,2863,1027
2874,3606,1027
3537,4706,1027
948,2886,1029
1555,1798,1030
1273,4399,1032
666,2158,1033
867,2629,1034
1365,4997,1034
1311,3284,1034
3835,4737,1035
821,4331,1035
1398,4165,1035
2880,2949,1037
1297,4842,1038
724,1341,1038
1387,1923,1039
583,1249,1040
1796,1902,1043
1023,4672,1045
3941,4370,1045
1702,3349,1047
1954,2386,1047
959,2153,1047
738,1686,1048
1513,3230,1049
322,2849,1049
277,3354,1049
210,2471,1049
2723,2911,1049
1314,1474,1051
3365,4566,1052
635,3689,1052
3848,4860,1054
973,2912,1054
477,1474,1054
3159,4684,1055
2025,4918,1055
541,3850,1055
3630,4782,1055
244,540,1055
2678,3037,1056
1566,4637,1056
1913,4035,1056
1082,2888,1057
77,4830,1058
1411,1667,1058
71,3354,1059
1928,2723,1060
2510,4974,1060
940,4640,1061
212,1341,1062
3562,3595,1062
1963,4273,1063
557,3058,1066
2144,3024,1066
4028,4555,1067
1718,3770,1069
836,1371,1071
2165,3465,1071
1138,1284,1073
2413,4479,1074
1134,3610,1074
2998,4231,1076
605,2419,1076
2184,3792,1076
1098,4219,1077
1828,4039,1078
2763,4507,1079
1464,2191,1080
562,2625,1082
545,1968,1082
4190,4899,1082
580,4890,1082
3385,4473,1082
2808,4867,1082
503,1586,1083
775,1588,1083
4801,5011,1084
561,1397,1084
1894,2862,1084
313,3020,1084
4255,4545,1084
3335,3836,1086
374,1654,1087
819,4453,1088
120,830,1088
1512,4509,1089
329,2894,1089
1634,2713,1091
295,3307,1093
1554,4176,1093
845,4781,1095
503,2831,1096
3668,4763,1096
4673,4998,1096
2812,3431,1097
741,2689,1097
2385,4297,1098
490,3605,1098
497,1928,1099
2385,4298,1099
2086,4423,1099
825,2947,1102
1954,4437,1103
619,3168,1103
1799,3802,1105
997,1990,1107
2863,4733,1107
3963,4176,1108
294,1976,1108
27,4777,1109
560,4223,1109
839,1609,1109
3801,4104,1111
1402,3023,1112
3618,4762,1113
1102,4731,1113
506,2165,1114
506,4017,1115
2601,3623,1116
1682,3768,1116
785,3265,1116
1492,2736,1116
1459,2703,1116
501,1365,1120
442,538,1120
89,1789,1120
2775,4200,1120
1530,1648,1121
613,1396,1121
1034,4927,1121
1179,1575,1124
3148,3644,1125
2887,3096,1128
2449,3476,1128
670,1137,1129
4313,4626,1130
138,4806,1130
399,3504,1130
290,3940,1131
816,4013,1132
1452,1489,1133
400,3504,1135
2299,4299,1136
3478,3640,1137
2826,4323,1140
1050,2338,1141
229,1701,1142
952,1722,1142
2314,2749,1143
3581,4975,1143
1594,1702,1144
483,534,1144
1363,4086,1146
2236,2879,1149
3958,4659,1149
1908,3909,1151
1661,3031,1152
4276,4412,1154
1248,4203,1156
1182,2445,1156
2386,3578,1158
3236,4195,1159
4019,4304,1160
1183,4830,1161
3876,4496,1161
1181,3532,1164
1834,4956,1166
142,1039,1167
325,3665,1168
2190,2297,1171
488,3374,1171
630,3336,1171
2614,3337,1171
525,3362,1171
2594,4384,1171
136,1170,1171
3310,3312,1172
4571,4995,1172
1954,3810,1173
3908,4079,1175
2779,3497,1178
2725,4923,1178
4159,5060,1180
2193,2319,1180
719,3168,1181
3394,4388,1182
1557,1984,1186
2025,3806,1186
783,2560,1186
216,3096,1188
471,3432,1191
166,2057,1193
1482,3614,1195
1049,4165,1196
458,4165,1197
2572,3963,1199
2561,3644,1201
2105,2139,1201
559,2517,1203
209,377,1203
624,2226,1205
689,4381,1206
616,4083,1207
98,193,1208
2980,4124,1212
519,1068,1212
335,2761,1214
1300,2181,1217
3051,4018,1219
2297,3620,1219
1447,4983,1220
1050,1195,1220
1753,3500,1221
631,4481,1222
177,2021,1223
2016,3525,1225
4527,4593,1225
506,3243,1228
1771,3350,1228
321,2249,1228
902,3194,1229
2254,3881,1229
4217,4397,1232
41,4892,1232
11,1993,1233
1060,1189,1233
2052,3729,1235
567,4974,1235
2491,4989,1235
403,549,1237
915,1481,1239
2113,4767,1239
1340,4695,1240
701,4148,1242
2441,4210,1242
629,4454,1242
268,3993,1243
4187,4680,1244
2544,3274,1244
294,3012,1244
185,4454,1244
301,4928,1245
448,1491,1246
543,1450,1246
370,3299,1246
1523,1905,1247
2964,4228,1247
2543,2659,1247
2413,4918,1249
825,2479,1249
2645,2708,1251
864,1400,1251
1519,2185,1252
1477,1603,1254
2436,4803,1254
3212,3961,1254
1263,2585,1254
1051,3710,1256
880,2444,1256
1214,2741,1257
299,2359,1258
3184,4321,1259
1204,1969,1259
2752,4294,1260
2389,2543,1260
2163,3673,1261
790,2372,1261
3895,4687,1262
2424,4569,1263
4631,4948,1263
460,634,1263
3546,4500,1265
155,1894,1267
1571,2240,1270
2085,4966,1270
51,3861,1271
708,4299,1274
419,3760,1275
1966,4040,1276
939,4368,1276
1669,4967,1278
159,3945,1279
1603,1780,1280
4192,4961,1281
1616,4171,1281
2102,2975,1282
3889,4839,1284
391,1771,1287
702,1943,1289
1458,3065,1291
1532,3595,1291
899,1594,1293
1022,2888,1295
44,1365,1295
3802,4348,1295
4720,4814,1295
1531,2013,1295
1307,3668,1296
1030,5017,1296
1731,2413,1297
523,4337,1297
1715,1953,1298
1437,4867,1300
836,4015,1301
329,3443,1301
3343,3529,1302
558,4107,1304
829,1170,1305
3462,5022,1306
1371,1748,1307
1587,4461,1307
486,1483,1309
193,3439,1309
517,2325,1310
336,4420,1310
875,2462,1310
235,2152,1310
3562,5052,1310
653,2894,1310
436,3120,1312
715,1515,1312
4984,5036,1313
238,1546,1313
2059,3153,1314
4301,4812,1315
1515,1834,1317
1173,3525,1317
3468,4661,1317
3959,4812,1317
3404,3822,1317
77,781,1319
734,3544,1319
1850,2556,1320
216,3369,1320
1642,4438,1320
113,1423,1322
3562,3831,1323
3916,4314,1323
1971,2503,1323
1693,2871,1323
1285,3397,1324
3562,3832,1326
1850,2555,1326
2830,3449,1326
1851,3370,1327
1411,4283,1327
1390,4538,1329
2146,4936,1330
2540,4005,1330
1415,2190,1333
663,2039,1336
4328,4794,1337
1875,4365,1338
231,4437,1338
1128,3709,1338
4739,4955,1342
2571,3802,1342
2104,2906,1342
297,3885,1342
532,631,1343
3308,3396,1345
1910,2252,1346
2896,3515,1346
831,3837,1347
1381,3233,1348
2496,2768,1349
1412,3943,1350
132,582,1350
1685,3068,1351
967,2146,1352
2479,4246,1353
1731,4760,1354
2822,3401,1354
2824,3062,1354
2029,4720,1355
3521,5058,1356
1077,4290,1357
946,3918,1358
2243,4866,1359
801,1070,1361
1385,2103,1362
905,2059,1363
487,4482,1364
2529,4455,1366
900,4706,1367
2458,4463,1367
1001,3940,1369
806,4009,1370
3360,3631,1370
1953,4132,1371
2590,3157,1372
1843,5032,1375
2697,4404,1375
31,835,1376
1840,1950,1378
50,3385,1380
888,2711,1380
3345,3529,1381
987,5029,1383
786,4762,1384
3606,4688,1385
729,4326,1387
1560,2547,1387
771,1122,1391
2441,3582,1392
1954,3309,1394
979,4628,1395
430,4488,1398
552,4618,1399
939,4847,1400
774,5049,1400
478,2764,1400
1106,1464,1401
3019,4175,1401
1023,3638,1402
2882,3051,1404
4299,4433,1404
2360,4386,1404
2303,2659,1405
1032,4105,1405
690,1638,1405
2799,3838,1406
2327,4212,1407
744,1094,1407
1556,5026,1407
1572,3422,1408
1474,3823,1408
407,3399,1410
776,2404,1411
1645,2792,1413
1641,1957,1415
2442,2757,1417
4273,4363,1418
353,3457,1421
1767,1768,1422
1850,5048,1423
213,4622,1424
1582,4036,1426
677,3945,1427
1107,4550,1428
4113,4212,1428
1529,2209,1429
497,1372,1430
3208,3582,1430
423,3677,1430
2188,3846,1431
130,247,1434
3096,4083,1436
2268,4103,1438
1613,3338,1438
759,4315,1438
1735,4942,1438
2950,3423,1438
215,3035,1438
3278,3621,1438
2578,4119,1440
710,4355,1446
1641,4030,1447
1330,4720,1448
149,3438,1450
3818,4614,1450
110,1149,1452
1215,2826,1452
2225,3349,1452
204,585,1453
3940,4093,1453
3121,3962,1453
499,1990,1455
1732,2659,1456
1190,3644,1457
1737,3885,1457
3834,4795,1458
2149,2668,1458
1190,3778,1458
497,4985,1459
228,4273,1461
1219,3990,1461
1514,3259,1461
2833,4333,1462
3604,4796,1463
2076,2959,1463
1066,3809,1463
1699,3045,1466
2035,4578,1466
1321,3524,1469
3374,4638,1470
1411,2216,1472
2096,3090,1472
124,3028,1474
16,4714,1476
1730,3244,1476
1210,1657,1478
1654,4543,1478
2906,3016,1478
114,2525,1479
1520,1592,1479
467,4218,1480
3134,4607,1480
1936,4142,1480
1109,2864,1481
297,2471,1483
2693,2883,1486
1867,2325,1487
3496,4294,1489
366,2063,1491
2687,4011,1492
546,3988,1493
2484,4703,1495
406,3544,1496
1421,2732,1498
846,2857,1498
554,3873,1499
986,2746,1502
2463,4817,1502
1851,2607,1504
3129,4550,1504
2484,3966,1508
3364,3968,1510
679,4698,1511
574,2511,1513
716,1163,1513
973,1843,1513
334,2785,1514
2745,4325,1517
1514,2082,1519
66,3905,1519
2332,3486,1520
1670,4913,1521
401,1873,1521
199,738,1522
1283,3262,1523
3054,3544,1526
3286,3973,1528
1699,3082,1528
42,3798,1529
2561,2769,1529
1068,4141,1529
3020,3395,1529
773,4023,1530
213,3093,1531
3104,3149,1531
1019,4831,1533
3243,4405,1533
368,3023,1533
619,4123,1533
669,3308,1534
639,1923,1535
1583,3884,1537
1101,1892,1538
135,4541,1540
2015,3374,1541
2468,4118,1542
1576,3802,1543
3126,4107,1543
1272,4354,1544
196,4675,1544
3753,4102,1544
1240,1773,1545
29,975,1546
2858,4317,1547
