SSP_ID,RA,Dec,Magnitude,pm_RA,pm_Dec,r0_1,r0_2,r0_3
4247,82.3187504166667,25.1502152777778,5.85,0.00084,-0.0374,0.120990282417173,0.897074338859276,0.424992920083153
4248,82.9000170833333,-45.9253169444444,5.85,0.00178,0.0361,0.0859764146351231,0.690261571271208,-0.718433726486092
4249,91.76529375,-34.3120205555556,5.85,0.00023,0.0004,-0.0254445747125833,0.82558804244637,-0.5636993505294
4250,98.0800220833333,4.85599916666667,5.85,-0.00238,0.0016,-0.140051509602591,0.986518959108316,0.0846517452736774
4251,104.133572083333,46.2739983333333,5.85,-0.00035,0.005,-0.168782016906273,0.670286874038549,0.722653538883385
4252,108.1099075,24.1285936111111,5.85,-0.00115,-0.0449,-0.283682715840091,0.867420402191471,0.408785961837704
4253,109.517704583333,-43.9867861111111,5.85,-0.00091,-0.0056,-0.240383594998261,0.678156294020487,-0.694492453620707
4254,113.290735416667,-24.7107313888889,5.85,-0.00013,0.0201,-0.359190443669223,0.834402241687663,-0.418037228298281
4255,120.20807375,-54.1512752777778,5.85,-0.00298,0.0086,-0.294663543958161,0.506118598665552,-0.810566073769951
4256,123.45906625,56.4522463888889,5.85,-0.00259,-0.0296,-0.304688621551524,0.461049620558636,0.833425516335905
4257,123.599462083333,-45.8345225,5.85,-0.00085,0.0107,-0.385560714383366,0.580327347340987,-0.717330541279515
4258,135.686739166667,7.29826694444444,5.85,-0.00063,0.0014,-0.709734041245263,0.692921207301116,0.127034606190719
4259,138.53420875,-44.1458219444444,5.85,-0.00225,0.013,-0.537711583877811,0.475154988586437,-0.696486891036033
4260,142.593680416667,-15.5773519444444,5.85,-0.00639,-0.0654,-0.765170275076918,0.58515059078001,-0.268539077693581
4261,142.887692083333,-35.7147502777778,5.85,0.01286,-0.1734,-0.647479706425398,0.489903734342987,-0.583750255540909
4262,149.108235,8.93315722222222,5.85,-0.00572,0.0204,-0.847729629577327,0.507190246341804,0.155282095401972
4263,162.4312025,-9.852695,5.85,0.00066,-0.0272,-0.939294099883913,0.297398736419073,-0.171115707927732
4264,165.048723333333,-14.0833683333333,5.85,-0.0006,-0.0287,-0.937105835577599,0.250242833009078,-0.2433334696543
4265,183.358077083333,10.2623411111111,5.85,-0.0064,-0.008,-0.982312770473536,-0.0576388749782961,0.178155496844309
4266,193.735505416667,47.1967219444444,5.85,-0.00169,-0.0065,-0.660051533246473,-0.161336616701227,0.733690990520111
4267,198.572216666667,-78.4474538888889,5.85,-0.0028,-0.0037,-0.189837254342113,-0.0637848313063954,-0.979741451689711
4268,200.567856666667,-52.1829563888889,5.85,-0.00049,-0.002,-0.574058418064325,-0.215406900328706,-0.789972657716875
4269,204.9991975,-49.9499555555556,5.85,-0.0103,0.0187,-0.583173407733419,-0.271928281949774,-0.765482714362928
4270,214.368549583333,15.2633797222222,5.85,0.00106,0.0077,-0.796307399962909,-0.544601264725243,0.263256504618553
4271,217.818507083333,-67.7171969444445,5.85,0.00636,-0.0588,-0.29953466702045,-0.232497909405574,-0.925323567934474
4272,234.38336375,54.5087330555556,5.85,-0.00404,-0.0205,-0.338105345465374,-0.471970962265407,0.814204019976569
4273,239.418597083333,-20.98308,5.85,-0.00071,-0.0224,-0.475024074688047,-0.803817191375546,-0.358092238558578
4274,253.6122575,-42.4788908333333,5.85,5e-05,-0.0063,-0.208082852165248,-0.707563713484202,-0.675318530765462
4275,263.280787083333,-41.1730663888889,5.85,0.00022,-0.0036,-0.088071599228952,-0.747554352563459,-0.658335692008783
4276,269.903180416667,-4.82112638888889,5.85,-0.00017,-0.0883,-0.001683841017446,-0.996460514698093,-0.0840452695101831
4277,271.53083125,-8.32395555555556,5.85,-0.00017,-0.0167,0.0264334350622793,-0.989112200904464,-0.144769912387677
4278,279.809558333333,-47.9097675,5.85,0.00263,0.0149,0.114201636957743,-0.660499991023094,-0.742090121194632
4279,290.462065,-18.3083883333333,5.85,0.00719,-0.093,0.331890865888565,-0.889477309323361,-0.314131452323087
4280,290.98542375,43.3881705555556,5.85,0.0015,-0.0274,0.260259298742285,-0.678514545429585,0.686937485553567
4281,292.086659583333,2.93003027777778,5.85,0.00018,-0.0152,0.375516970529738,-0.925404840925797,0.051116389106319
4282,306.361784166667,-28.6632694444444,5.85,0.00089,0.0041,0.520226496978955,-0.706604297328945,-0.479661087474555
4283,353.746000833333,71.6420430555556,5.85,0.00111,-0.0024,0.313078310343609,-0.0343097661406105,0.949107376190791
4284,4.28768208333333,47.9474052777778,5.86,0.0004,-0.004,0.667937843834234,0.0500780904844411,0.742530283306685
4285,12.0380725,72.6744816666667,5.86,0.02993,0.0099,0.291251221803345,0.0621096644640343,0.954628260307762
4286,27.04557,16.9555508333333,5.86,0.00389,-0.033,0.851929962386706,0.434933833383906,0.291629730593036
4287,29.4322675,27.8043808333333,5.86,0.00101,-0.0588,0.770383425620818,0.434660543170008,0.466454274007525
4288,30.7440379166667,-15.3059319444444,5.86,0.00177,0.0073,0.828974659359115,0.493071309609776,-0.263972911072593
4289,36.501455,-15.3412466666667,5.86,-0.00306,-0.0541,0.775198629794077,0.573647276665802,-0.264567356904237
4290,65.3626608333333,0.0981694444444444,5.86,-0.00132,-0.1247,0.416872633270937,0.908963295167357,0.00171337919208929
4291,69.5659575,20.6847222222222,5.86,-0.00099,-0.0082,0.326623417322394,0.876669243159485,0.35322539738079
4292,75.689145,-4.21012055555556,5.86,0.00282,0.002,0.246515577612078,0.966354180381268,-0.073414358638021
4293,81.77216875,-40.9435097222222,5.86,0.00029,0.1085,0.108098775787701,0.747581042738736,-0.655314610863259
4294,97.6962841666667,58.1626333333333,5.86,-0.00379,-0.3389,-0.0706451446290647,0.522758089806409,0.849548846790043
4295,100.1343825,71.7487858333333,5.86,0.0009,0.0107,-0.0551070562906334,0.308297563097023,0.949692489669903
4296,105.638696666667,16.6744472222222,5.86,-0.00083,-0.0073,-0.25823498450959,0.922487919586546,0.286933321509055
4297,111.965255416667,-11.5568672222222,5.86,-0.00015,-0.0023,-0.366461028994191,0.908608840954533,-0.200340431185963
4298,111.965297916667,-11.5570852777778,5.86,-0.00015,-0.0023,-0.366461417773876,0.908607862012709,-0.20034415981469
4299,118.880973333333,8.86283944444444,5.86,-0.00047,-0.0895,-0.477224713581929,0.865170003289207,0.154069588677323
