Star_ID,RA,Dec,Distance,pm_RA,pm_Dec,Magnitude,Spectral_Type,Color_Index,x,y,z,v_x,v_y,v_z,RA_Radians,Dec_Radians,pm_RA_Radians,pm_Dec_Radians,Luminosity,RA_hrs,x0,y0,z0
441,1.33392,-5.707618,39.4945,-8.29,88.19,4.61,K1III,1.029,39.287997,0.914841,-3.927804,-4.39e-06,-1.69e-06,1.741e-05,0.0232813053282765,-0.09961672987464,-4.01910541180556e-08,4.27557184e-07,19.4625615936124,0.088928,0.994772702070597,0.0231637829074334,-0.0994520506403962
475,1.424835,13.396266,114.2857,42.59,-6.51,5.55,G5III,0.901,111.141705,2.764456,26.478222,-1.74e-06,2.356e-05,-3.98e-06,0.0248680747187823,0.233808955838013,2.06482146548611e-07,-3.156137e-08,68.5488226452662,0.094989,0.97249019784668,0.0241889330971547,0.231684506619988
517,1.56534,58.436733,21.4777,247.36,17.77,5.98,G5V,0.687,11.23803,0.307211,18.300258,-8.49e-06,2.553e-05,-9.14e-06,0.0273204253073019,1.01991339082467,1.19923512022222e-06,8.6151391e-08,1.62929603263972,0.104356,0.523244410364498,0.0142987712942801,0.852062692624071
521,1.579155,-49.075191,25.7136,575.21,-39.94,5.7,G1IV...,0.519,16.837769,0.46441,-19.42844,-3.99e-06,7.162e-05,-5.27e-06,0.0275615650967543,-0.85652366430261,2.78869677192361e-06,-1.93634584e-07,3.02273448003865,0.105277,0.654819245778274,0.0180523419062113,-0.755569896376287
530,1.61055,64.196168,265.9574,9.7,0.01,5.57,B9III,-0.023,115.723206,3.253833,239.438695,-5.4e-07,1.25e-05,-3.6e-07,0.0281094364856114,1.12043450742421,4.70269270138889e-08,4.8481e-11,364.418150788861,0.10737,0.435119353769885,0.0122341664773897,0.900289660690092
635,1.945395,-22.50856,78.3699,70.1,-34.71,5.93,A1V,0.141,72.358029,2.457783,-30.001634,-1.822e-05,2.603e-05,-7.09e-06,0.0339536727259131,-0.392848477439745,3.39854390069444e-07,-1.68278828e-07,22.7195643773527,0.129693,0.923289889122997,0.0313610199447932,-0.382821455865874
654,2.014545,-33.529326,94.9668,-42.75,3.15,5.67,K1III,1.119,79.115753,2.782872,-52.45625,7.46e-06,-1.943e-05,-2.75e-06,0.0351605534938262,-0.585197134373238,-2.072578484375e-07,1.527163e-08,42.383810577435,0.134303,0.833087991319439,0.029303819659506,-0.552363725160066
670,2.07306,-8.824112,98.4252,-34.13,-35.67,5.99,G8III:,1.034,97.196752,3.518268,-15.098621,1.818e-05,-1.564e-05,-1.996e-05,0.0361816011645447,-0.154009809164091,-1.65466909173611e-07,-1.72933039e-07,33.9156386905822,0.138204,0.987517171777901,0.0357456721479732,-0.153401702619184
676,2.096865,29.090432,29.7442,135.68,-162.95,2.07,B9p,-0.038,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,0.0365971627080156,0.507723818465945,6.57795201777778e-07,-7.90003892e-07,114.498553469019,0.139791,0.873268290877592,0.0319734486136302,0.486189459708333
727,2.26008,18.211963,87.4126,140.93,-25.57,5.57,G9III,1.043,82.969037,3.274515,27.319281,-2.13e-05,5.893e-05,-1.764e-05,0.0394459194193001,0.317858719289993,6.83247920006944e-07,-1.23966858e-07,39.373135370085,0.150672,0.949167897866636,0.0374601535502128,0.312533259918727
