SSP_ID,SKY2000_ID,RA,DE,Vmag,pmRA,pmDE,X,Y,Z
2357,J041916.69-441604.5,64.8195691666667,-44.2679191666667,5.33,0.00588,-0.0366,0.304672283484218,0.6480359789425,-0.698014448039973
2358,J045322.77+023029.6,73.3448858333333,2.508225,5.33,0.00198,-0.0164,0.286335481363688,0.957129463098877,0.0437628036154131
2359,J045447.78+074644.7,73.6990879166667,7.77909722222222,5.33,-0.00146,-0.0271,0.278098951998951,0.950968052061127,0.135354116509808
2360,J053416.77+034600.8,83.5698870833333,3.766895,5.33,-0.00196,-0.0158,0.111749264478497,0.991562382138468,0.065697368413057
2361,J074404.17+502601.6,116.017413333333,50.4337936111111,5.33,-0.00097,-0.0278,-0.279402998895702,0.57241943503666,0.770889067635804
2362,J081248.78+682826.6,123.20327875,68.4740719444444,5.33,-0.00019,0.0073,-0.200930688881063,0.307015930952715,0.930251619943238
2363,J082904.75-475544.1,127.2697975,-47.9289230555556,5.33,-0.00077,0.0067,-0.405762705973654,0.533222547693329,-0.742314179490311
2364,J154147.41+125051.0,235.447564583333,12.8475275,5.33,0.00271,-0.0046,-0.552961496897732,-0.802988670989433,0.222357318771482
2365,J162227.99-493420.4,245.616645833333,-49.5723544444444,5.33,-0.00127,-0.026,-0.267721379430881,-0.590644567770801,-0.761225497181006
2366,J171227.80+103506.6,258.115872083333,10.5851677777778,5.33,0.00041,-0.0252,-0.202428733871938,-0.961913748723138,0.183696890883878
2367,J171439.18+142323.9,258.663253333333,14.3899941666667,5.33,-0.00046,0.0328,-0.190407789982005,-0.949727496566851,0.248520735108823
2368,J173023.79-010346.5,262.599157083333,-1.06292166666667,5.33,-0.00845,-0.172,-0.12878802084277,-0.991498627156859,-0.0185504186870672
2369,J185814.74+172139.2,284.5614475,17.3609119444444,5.33,1e-05,-0.01,0.239964584235802,-0.923785997994459,0.298389725396033
2370,J195150.60-395227.7,297.960852916667,-39.8743672222222,5.33,0.00166,-0.0121,0.35983384583564,-0.677865948330923,-0.641106355829165
2371,J200152.46-665638.2,300.468589166667,-66.9439661111111,5.33,0.00655,-0.0715,0.198582821926425,-0.337549757087282,-0.92012228770205
2372,J210257.95-383753.2,315.741474166667,-38.6314472222222,5.33,-0.00238,-0.1088,0.559478153098956,-0.54518176810904,-0.624308446143797
2373,J211544.84-151017.4,318.936844166667,-15.1715002777778,5.33,0.00171,0.0051,0.727707133086136,-0.633995786963122,-0.261709133521489
2374,J005601.49-111559.4,14.00620875,-11.2665263888889,5.34,-0.00182,-0.008,0.951571410261124,0.237362927602615,-0.19537321150447
2375,J034540.44+060259.9,56.4185104166667,6.04999111111111,5.34,0.00138,-0.0156,0.550041712564599,0.828459875515155,0.105396153157586
2376,J051911.21+023544.9,79.7967458333333,2.59580638888889,5.34,-0.00121,-0.0533,0.176958872079582,0.983175663436681,0.0452898710327614
2377,J053241.35-013530.5,83.1723054166667,-1.59183111111111,5.34,-0.00014,0.0007,0.118838036922759,0.992524982794508,-0.0277791200203857
2378,J053259.56-641339.0,83.2482045833333,-64.2275172222222,5.34,0.00508,-0.0013,0.0511186328681423,0.431783229341631,-0.900527694317618
2379,J061525.12+160835.4,93.8546995833333,16.1431752777778,5.34,0.00011,-0.0127,-0.0645757136918423,0.958396854438125,0.278038570353642
2380,J062146.12+532707.8,95.4422079166667,53.4521791666667,5.34,0.00249,-0.0889,-0.0564776075485512,0.592809237757005,0.803360123154959
2381,J062849.61-070204.7,97.20672,-7.03465638888889,5.34,-0.00047,-0.005,-0.124505241462678,0.984631719064937,-0.122469680572572
2382,J064649.50+571009.0,101.706289166667,57.1691761111111,5.34,0.00171,-0.0388,-0.110001502690828,0.530883699177673,0.840275054582242
2383,J072443.85-314832.0,111.182722916667,-31.808905,5.34,-0.00168,0.0087,-0.307073533515692,0.792391450572506,-0.527087880788192
2384,J073508.79+305739.3,113.786653333333,30.9609436111111,5.34,-0.00196,0.0058,-0.3458646541594,0.784675140677628,0.514453656421784
2385,J080718.03-203315.6,121.825165416667,-20.5543419444444,5.34,-0.00074,0.0017,-0.493759064812233,0.795571405366487,-0.351095606464881
2386,J081948.96-713053.6,124.954015833333,-71.5149063888889,5.34,-0.00364,0.037,-0.181648452187444,0.259864517223729,-0.948406174856524
2387,J083242.49+202628.1,128.177070833333,20.4411619444444,5.34,-0.00318,-0.0447,-0.579173305955358,0.736604367426292,0.349245311432026
2388,J085034.81-664734.7,132.645074166667,-66.7929808333333,5.34,0.01567,0.1004,-0.266954134356186,0.289852454130787,-0.919087071492413
2389,J092409.22-804712.7,141.038435833333,-80.7868761111111,5.34,-0.05769,0.1354,-0.124494299625573,0.100675291570065,-0.987099617580729
2390,J102329.29-380035.4,155.8720675,-38.0098394444444,5.34,-0.01344,-0.0536,-0.719069693966038,0.322076211977439,-0.61579679188662
2391,J104616.55-643052.4,161.5689875,-64.5145594444444,5.34,-0.00245,0.0109,-0.408210434705655,0.1360389847379,-0.902694652487153
2392,J120814.71-484132.9,182.061301666667,-48.6924875,5.34,-0.00197,-0.007,-0.659673025838618,-0.0237429717091504,-0.751177589039596
2393,J142448.62-244822.7,216.202609583333,-24.8063105555556,5.34,-0.00392,-0.0181,-0.732478694296604,-0.536144597346311,-0.419552062487964
2394,J151511.35+045621.7,228.797307916667,4.93936472222222,5.34,-0.00154,0.0039,-0.656278555780788,-0.749589887833445,0.0861014359934057
2395,J165258.05+314206.0,253.2419075,31.7016738888889,5.34,-0.00714,-0.0171,-0.245311228325505,-0.814663011430315,0.525496507186036
2396,J194801.19-562145.4,297.004995416667,-56.3626113888889,5.34,0.01112,-0.1374,0.251524239070436,-0.493537733717368,-0.832559945323556
2397,J205340.18-394835.5,313.417440833333,-39.8098647222222,5.34,0.00384,-0.0972,0.527972154741198,-0.557974576252029,-0.640241966817472
2398,J215008.70+171709.2,327.53628125,17.2858933333333,5.34,0.00725,-0.0292,0.80562352077732,-0.512521887027838,0.297139795530285
2399,J221648.04-124953.1,334.200185833333,-12.8314361111111,5.34,0.00013,0.0047,0.877837074042889,-0.424359509690463,-0.22208349324317
2400,J225704.50+484102.6,344.268759583333,48.6840680555555,5.34,0.00097,-0.0054,0.635481735450264,-0.178999789089604,0.751080581172884
2401,J010718.66-614631.0,16.8277654166667,-61.7752891666667,5.35,0.0104,-0.0112,0.452679595598822,0.136911426731425,-0.881099565860098
